"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_0.815048=*_class=2","0.0","_0.815048=*_class=2","_0.815048","2"
"0.0","0.0","0.0","0.0","_-0.138196=*_class=2","0.0","_-0.138196=*_class=2","_-0.138196","2"
"0.0","0.0","0.0","0.0","_1.358106=*_class=2","0.0","_1.358106=*_class=2","_1.358106","2"
"0.0","0.0","0.0","0.0","_0.763062=*_class=2","0.0","_0.763062=*_class=2","_0.763062","2"
"0.0","0.0","0.0","0.0","_-2.888766=*_class=2","0.0","_-2.888766=*_class=2","_-2.888766","2"
"0.0","0.0","0.0","0.0","_-8.129869=*_class=2","0.0","_-8.129869=*_class=2","_-8.129869","2"
"0.0","0.0","0.0","0.0","_0.761388=*_class=2","0.0","_0.761388=*_class=2","_0.761388","2"
"0.0","0.0","0.0","0.0","_1.768526=*_class=2","0.0","_1.768526=*_class=2","_1.768526","2"
"0.0","0.0","0.0","0.0","_-2.350776=*_class=2","0.0","_-2.350776=*_class=2","_-2.350776","2"
"0.0","0.0","0.0","0.0","_797.773800=*_class=2","0.0","_797.773800=*_class=2","_797.773800","2"
"0.0","0.0","0.0","0.0","_3020.919100=*_class=2","0.0","_3020.919100=*_class=2","_3020.919100","2"
"0.0","0.0","0.0","0.0","_-0.400115=*_class=2","0.0","_-0.400115=*_class=2","_-0.400115","2"
"0.0","0.0","0.0","0.0","_-0.493482=*_class=2","0.0","_-0.493482=*_class=2","_-0.493482","2"
"0.0","0.0","0.0","0.0","_0.198946=*_class=2","0.0","_0.198946=*_class=2","_0.198946","2"
"0.0","0.0","0.0","0.0","_2.713374=*_class=2","0.0","_2.713374=*_class=2","_2.713374","2"
"0.0","0.0","0.0","0.0","_-0.315720=*_class=2","0.0","_-0.315720=*_class=2","_-0.315720","2"
"0.0","0.0","0.0","0.0","_1.682904=*_class=2","0.0","_1.682904=*_class=2","_1.682904","2"
"0.0","0.0","0.0","0.0","_1.795029=*_class=2","0.0","_1.795029=*_class=2","_1.795029","2"
"0.0","0.0","0.0","0.0","_0.584691=*_class=2","0.0","_0.584691=*_class=2","_0.584691","2"
