"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"2160","0.9999999999999997","1.0","0.3541666666666667","0.27083333333333337","0.10416666666666669","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"2208","0.9999999999999996","0.9999999999999999","0.5208333333333333","0.6666666666666667","0.625","0.5208333333333333","0.5208333333333333","0.5208333333333333"
"2256","0.9999999999999999","1.0","0.3958333333333333","0.2708333333333333","0.3541666666666667","0.22916666666666663","0.22916666666666663","0.22916666666666663"
"2304","1.0000000000000002","1.0","0.29166666666666674","0.4375","0.5208333333333333","0.29166666666666663","0.29166666666666663","0.29166666666666663"
"2352","0.9999999999999996","1.0","0.5416666666666666","0.5416666666666667","0.5416666666666666","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"2400","0.9999999999999992","1.0","0.4791666666666667","0.625","0.5208333333333333","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"2448","0.9999999999999993","1.0","0.22916666666666669","0.22916666666666669","0.16666666666666669","0.020833333333333315","0.020833333333333315","0.020833333333333315"
"2496","0.9999999999999999","1.0","0.35416666666666663","0.35416666666666663","0.16666666666666669","0.0625","0.0625","0.0625"
"2544","1.0","1.0","0.20833333333333331","0.16666666666666669","0.41666666666666663","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"2592","1.0","1.0","0.20833333333333331","0.45833333333333337","0.3333333333333333","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"2640","0.9999999999999998","1.0","0.14583333333333334","0.37499999999999994","0.5625","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"2688","0.9999999999999997","1.0","0.4375","0.5416666666666666","0.4166666666666667","0.35416666666666663","0.35416666666666663","0.35416666666666663"
"2736","1.0","1.0","0.5416666666666667","0.6041666666666666","0.5416666666666667","0.5416666666666666","0.5416666666666666","0.5416666666666666"
"2784","0.9999999999999999","1.0","0.41666666666666674","0.3333333333333333","0.2916666666666667","0.29166666666666663","0.29166666666666663","0.29166666666666663"
"2832","0.9999999999999999","1.0","0.375","0.20833333333333334","0.125","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"2880","0.9999999999999998","1.0","0.5","0.8125","0.5625","0.5","0.5","0.5"
"2928","0.9999999999999998","1.0","0.08333333333333334","0.08333333333333333","0.1875","0.08333333333333334","0.08333333333333334","0.08333333333333334"
"2976","0.9999999999999997","1.0","0.5208333333333333","0.47916666666666663","0.5625","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"3024","0.9999999999999997","1.0","0.2708333333333333","0.5208333333333334","0.31250000000000006","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"3072","0.9999999999999999","1.0","0.18750000000000003","0.41666666666666663","0.14583333333333331","0.020833333333333343","0.020833333333333343","0.020833333333333343"
"3120","0.9999999999999998","1.0","0.39583333333333337","0.5","0.27083333333333337","0.27083333333333337","0.27083333333333337","0.27083333333333337"
"3168","0.9999999999999997","1.0","0.25000000000000006","0.39583333333333337","0.20833333333333331","0.20833333333333337","0.20833333333333337","0.20833333333333337"
"3216","0.9999999999999999","1.0","0.31250000000000006","0.41666666666666663","0.35416666666666674","0.3125","0.3125","0.3125"
"3264","0.9999999999999997","1.0","0.29166666666666663","0.3333333333333333","0.35416666666666674","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"3312","0.9999999999999997","1.0","0.10416666666666667","0.3125","0.5208333333333333","0.10416666666666669","0.10416666666666669","0.10416666666666669"
"3360","0.9999999999999999","1.0","0.4166666666666667","0.35416666666666663","0.39583333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"3408","1.0","1.0","0.22916666666666669","0.2916666666666666","0.25","0.22916666666666666","0.22916666666666666","0.22916666666666666"
"3456","1.0","1.0","0.16666666666666666","0.31250000000000006","0.18749999999999997","0.125","0.125","0.125"
"3504","0.9999999999999999","1.0","0.6875","0.6250000000000001","0.6041666666666666","0.6041666666666667","0.6041666666666667","0.6041666666666667"
"3552","1.0","1.0","0.10416666666666669","0.1875","0.41666666666666674","0.020833333333333353","0.020833333333333353","0.020833333333333353"
"3600","0.9999999999999999","1.0","0.20833333333333331","0.16666666666666663","0.29166666666666663","0.16666666666666663","0.16666666666666663","0.16666666666666663"
"3648","0.9999999999999999","1.0","0.08333333333333334","0.16666666666666663","0.4375000000000001","0.08333333333333329","0.08333333333333329","0.08333333333333329"
"3696","0.9999999999999998","1.0","0.10416666666666667","0.06250000000000003","0.22916666666666669","0.020833333333333356","0.020833333333333356","0.020833333333333356"
"3744","0.9999999999999997","1.0","0.20833333333333331","0.20833333333333334","0.16666666666666666","0.125","0.125","0.125"
"3792","0.9999999999999997","1.0","0.2708333333333334","0.45833333333333337","0.3125","0.22916666666666666","0.22916666666666666","0.22916666666666666"
"3840","0.9999999999999996","1.0","0.3541666666666667","0.18749999999999997","0.20833333333333331","0.020833333333333343","0.020833333333333343","0.020833333333333343"
"3888","0.9999999999999994","1.0","0.16666666666666666","0.16666666666666669","0.4375","0.125","0.125","0.125"
"3936","0.9999999999999993","1.0","0.14583333333333334","0.1875","0.31250000000000006","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"3984","0.9999999999999997","1.0","0.5833333333333333","0.37500000000000006","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"4032","0.9999999999999996","1.0","0.6041666666666666","0.5","0.35416666666666663","0.35416666666666663","0.35416666666666663","0.35416666666666663"
"4080","0.9999999999999998","1.0","0.3125","0.5625","0.39583333333333337","0.3125","0.3125","0.3125"
"4128","1.0","1.0","0.16666666666666669","0.25","0.24999999999999997","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"4176","0.9999999999999997","1.0","0.1875","0.20833333333333334","0.29166666666666674","0.1875","0.1875","0.1875"
"4224","0.9999999999999993","1.0","0.25","0.3541666666666667","0.5","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"4272","0.9999999999999994","1.0","0.29166666666666663","0.29166666666666674","0.35416666666666663","0.2916666666666667","0.2916666666666667","0.2916666666666667"
"4320","0.9999999999999999","1.0","0.375","0.37500000000000006","0.5","0.375","0.375","0.375"
"4368","0.9999999999999999","0.9999999999999999","0.3125","0.8125","0.29166666666666663","0.1875","0.1875","0.1875"
"4416","0.9999999999999999","1.0","0.4166666666666667","0.4791666666666667","0.16666666666666666","0.125","0.125","0.125"
"4464","0.9999999999999998","0.9999999999999999","0.1875","0.33333333333333337","0.2708333333333333","0.1875","0.1875","0.1875"
"4512","1.0000000000000002","1.0","0.29166666666666663","0.29166666666666663","0.3333333333333333","0.08333333333333331","0.08333333333333331","0.08333333333333331"
"4560","0.9999999999999999","1.0","0.33333333333333337","0.33333333333333337","0.45833333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"4608","0.9999999999999997","1.0","0.20833333333333331","0.2708333333333333","0.27083333333333326","0.08333333333333334","0.08333333333333334","0.08333333333333334"
"4656","0.9999999999999996","1.0","0.16666666666666669","0.5208333333333334","0.5","0.08333333333333334","0.08333333333333334","0.08333333333333334"
"4704","0.9999999999999991","1.0","0.37499999999999994","0.22916666666666669","0.29166666666666663","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"4752","0.9999999999999992","1.0","0.41666666666666663","0.25","0.18750000000000003","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"4800","0.9999999999999998","1.0","0.35416666666666674","0.3541666666666667","0.33333333333333337","0.3125","0.3125","0.3125"
"4848","1.0","1.0","0.2708333333333333","0.3125","0.20833333333333331","0.0625","0.0625","0.0625"
"4896","1.0","1.0","0.31250000000000006","0.6250000000000001","0.39583333333333337","0.1875","0.1875","0.1875"
"4944","1.0","1.0","0.41666666666666663","0.35416666666666663","0.24999999999999997","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"4992","1.0000000000000002","1.0","0.27083333333333337","0.625","0.6875","0.1875","0.1875","0.1875"
"5040","0.9999999999999999","1.0","0.39583333333333326","0.5416666666666667","0.5416666666666667","0.3958333333333333","0.3958333333333333","0.3958333333333333"
"5088","0.9999999999999998","1.0","0.2916666666666667","0.4166666666666667","0.125","0.08333333333333331","0.08333333333333331","0.08333333333333331"
"5136","0.9999999999999999","0.9999999999999999","0.41666666666666663","0.3958333333333333","0.29166666666666663","0.25","0.25","0.25"
"5184","0.9999999999999999","1.0","0.5416666666666666","0.6041666666666666","0.5416666666666666","0.45833333333333326","0.45833333333333326","0.45833333333333326"
"5232","0.9999999999999997","1.0","0.20833333333333331","0.7291666666666667","0.5625000000000001","0.20833333333333331","0.20833333333333331","0.20833333333333331"
"5280","0.9999999999999998","1.0","0.14583333333333337","0.375","0.29166666666666663","0.020833333333333315","0.020833333333333315","0.020833333333333315"
"5328","0.9999999999999997","1.0","0.4583333333333333","0.6875","0.5416666666666666","0.45833333333333326","0.45833333333333326","0.45833333333333326"
